,merchant_name,merchant_area,category,display,product,price,discount_price,isDiscount,description,restaurant_status,rating,Location
18,369 Shanghai, Jemursari,Chinese,Noodles,Mie Goreng Pork / CK,56400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
19,369 Shanghai, Jemursari,Chinese,Noodles,Bihun Gr 369 Pork/ Ck,56400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
20,369 Shanghai, Jemursari,Chinese,Noodles,Mie Hokkian,62400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
21,369 Shanghai, Jemursari,Chinese,Noodles,Mie Babi Jamur,61200,,0,Mie Kuning/Putih/Sayur/Bihun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
22,369 Shanghai, Jemursari,Chinese,Noodles,Mie Baikut Goreng,66000,,0,Mie Kuning/Putih/Sayur/Bihun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
23,369 Shanghai, Jemursari,Chinese,Noodles,Mie Casiu Pork,67200,,0,Mie Kuning/Putih/Sayur/Bihun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
24,369 Shanghai, Jemursari,Chinese,Rice,Nasi Cap Jay,69601,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
25,369 Shanghai, Jemursari,Chinese,Rice,Nasi Goreng 369 (Pork),72000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
26,369 Shanghai, Jemursari,Chinese,Rice,Nasi Goreng Seafood,56400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
27,369 Shanghai, Jemursari,Chinese,Rice,Nasi Goreng Smoke Ham,72000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
28,369 Shanghai, Jemursari,Chinese,Rice,Nasi Putih,10800,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
29,369 Shanghai, Jemursari,Chinese,Rice,Nasi Goreng Chasiu,58800,,0,Babi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
30,369 Shanghai, Jemursari,Chinese,Rice,Nasi Goreng Merah,54000,,0,Babi/Ayam,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
31,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Kou Rou / Pork Belly,55200,,0,2 slices,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
32,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Baikut Goreng,57600,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
33,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Kaki Babi,52800,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
34,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Chasiu Pork,62400,,0,100 gram,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
35,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Kuping Babi,62400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
36,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Babat Hitam,62400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
37,369 Shanghai, Jemursari,Chinese,Shanghai Dish,Sambal Mie,36000,,0,150Ml,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
38,369 Shanghai, Jemursari,Chinese,Vegetable,Cah Aneka Sayur,36000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
39,369 Shanghai, Jemursari,Chinese,Egg,Telur Masak Ham,45599,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
40,369 Shanghai, Jemursari,Chinese,Egg,Telur Masak Sayur Asin,42000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
41,369 Shanghai, Jemursari,Chinese,Egg,Telur Mata Sapi,10800,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
42,369 Shanghai, Jemursari,Chinese,Dessert,Ronde Kacang Tanah,36000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
43,369 Shanghai, Jemursari,Chinese,Beverage,Cleo,12000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
44,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack Sup Shanghai,144000,,0,isi 2 porsi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
45,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack Tim Obat Ayam Kampung,117600,,0,isi 1 porsi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
46,369 Shanghai, Jemursari,Chinese,369 Home Pack,Homepack Sambal,36000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
47,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack Mie Zhajiang,103200,,0,isi 2 porsi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
48,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack Song Mie,103200,,0,isi 2 porsi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
49,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack Mie Ayam,94800,,0,isi 2 porsi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
50,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack Tim Obat Ayam Hitam,145200,,0,isi 1 porsi,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
51,369 Shanghai, Jemursari,Chinese,369 Home Pack,Home Pack MIE POLOS,59400,,0,Isi 3 Porsi / Mie kuning,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
52,369 Shanghai, Jemursari,Chinese,369 Home Pack,Homepack Sandwich Tiongkok,79199,,0,isi 2 slice dan 2 bun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
53,369 Shanghai, Jemursari,Chinese,369 Home Pack,Homepack Siomay,32400,,0,Isi 4 PCS,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
54,369 Shanghai, Jemursari,Chinese,369 Home Pack,Homepack Chasiew,116400,,0,Berat 200gram,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
55,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Rice,Beef And Mushroom,56800,,0,"Rice, Beef Patty, Mushrooms, Chilli, Coconut Milk, Garlic",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
56,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Rice,Shirataki Spicy Abon Cakalang,60800,,0,,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
57,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Americano,34400,,0,Double Ristretto,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
58,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Coffee Latte,42300,,0,"Double Ristretto, Fresh Milk, Milk Foam",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
59,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Creme Brulee,47600,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam, Syrup, Torched",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
60,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Capuccino,42300,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
61,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Flavored Latte,46200,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam, Your Choice Of Syrup",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
62,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Black Jasmine,46200,,0,Black Coffee With Jasmine And Lemon Syrup,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
63,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Ultra Violet,50000,,0,"double shot espresso, cream, lavender, rhum",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
64,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Stargazing,50000,,0,"double shot espresso, lavender, raspberry, lemon, yakult",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
65,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Iced Coffee,33000,,0,"Flavors : Vanilla, Caramel, Hazelnut, Aren",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
66,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Matcha,Matcha Ginger,47600,,0,"Matcha, Herbal Ginger Syrup, Soda Water",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
67,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Matcha,Matcha Latte,44800,,0,"Matcha, Steamed Fresh Milk, Milk Foam",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
68,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Matcha,Matcha Lemonade,47600,,0,"Matcha, Lemonade Syrup, Soda Water",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
69,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Waffle, Sandwich",Original Waffle,26400,,0,Plain Waffle,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
70,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Waffle, Sandwich",Tigers Feast,46200,,0,"sandwich, bolognese sauce, smoked beef, cheese",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
71,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Waffle, Sandwich",Magic Mushroom,43600,,0,"Sandwich, pesto, mushrooms, cheese",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
72,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Waffle, Sandwich",Choco Mallow,37000,,0,"Homemade Waffle, Whipped Cream, Nutella, Chocolate Sprinkles",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
73,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Waffle, Sandwich",Strawberry Cloud,37000,,0,"Homemade Waffle, Whipped Cream, Strawberry Jam, Marshmallow Bites",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
74,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Waffle, Sandwich",Matcha Crunchy,39600,,0,,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
75,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Chocolate,Chocolate Bar Korte,37000,,0,,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
76,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Chocolate,Chocolate Beverage,39600,,0,"Semi Sweet Dark Chocolate, Steamed Fresh Milk",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
77,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Pasta,Spicy Abon Cakalang,60800,,0,"Spaghetti, Abon Cakalang, Paprika, Olive Oil",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
78,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Pasta,Tom Yum Pasta,55500,,0,"Spaghetti, Galangal, Chilli, Lemon Zest, Dried Shrimp, Kafir Lime Leaf, Fish Tofu, Kani Stick",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
79,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Pasta,Meatballs Pasta,59400,,0,"Spaghetti, Meatball, Mozzarella, Tomato Puree, Garlic Bread Crumbs",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
80,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Pasta,Baked Macaroni,50200,,0,Baked Macaroni With Salmon,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
81,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Pasta,Salmon Pesto,59400,,0,"Pasta, Pesto Sauce, Salmon Chunks",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
82,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Pumpkin Spice Tiramisu,37000,,0,Tiramisu With Additional Kick Of Pumpkin Spice,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
83,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Vanilla Cookies,16500,,0,Moriarty Cookies Ooey Gooey Vanilla Cookies,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
84,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Dark Chocolate Brownies Square,19250,,0,Moriarty Cookies Large Size Fudgy Dark Chocolate Brownies Square,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
85,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Banana Bread,20000,,0,Moriarty Cookies Sliced Banana Bread,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
86,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Double Chocolate Cookies,16500,,0,Moriarty Cookies Ooey Gooey Dark Chocolate Cookies,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
87,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Kiji Elevated Choco Ishiya,19800,,0,Chocolate Bun,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
88,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Kiji Elevated Cinnamon Bun,22500,,0,Cinnamon Bun,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
89,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,"Sweets, Baked Goods",Kiji Elevated Garlic Cheese,30000,,0,Inspired By Korean Garlic Cheese Bread,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
90,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Rice,Beef And Mushroom,56800,,0,"Rice, Beef Patty, Mushrooms, Chilli, Coconut Milk, Garlic",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
91,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Rice,Shirataki Spicy Abon Cakalang,60800,,0,,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
92,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Americano,34400,,0,Double Ristretto,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
93,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Coffee Latte,42300,,0,"Double Ristretto, Fresh Milk, Milk Foam",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
94,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Creme Brulee,47600,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam, Syrup, Torched",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
95,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Capuccino,42300,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
96,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Flavored Latte,46200,,0,"Double Ristretto, Steamed Fresh Milk, Milk Foam, Your Choice Of Syrup",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
97,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Black Jasmine,46200,,0,Black Coffee With Jasmine And Lemon Syrup,Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
98,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Ultra Violet,50000,,0,"double shot espresso, cream, lavender, rhum",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
99,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Stargazing,50000,,0,"double shot espresso, lavender, raspberry, lemon, yakult",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
100,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Coffee,Iced Coffee,33000,,0,"Flavors : Vanilla, Caramel, Hazelnut, Aren",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
101,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Matcha,Matcha Ginger,47600,,0,"Matcha, Herbal Ginger Syrup, Soda Water",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
102,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Matcha,Matcha Latte,44800,,0,"Matcha, Steamed Fresh Milk, Milk Foam",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
103,AHA by Kudos,surabaya,Minuman/Kopi/Pizza & pasta,Matcha,Matcha Lemonade,47600,,0,"Matcha, Lemonade Syrup, Soda Water",Halal,4.6,"Jl. Waterpark Boulevard, Made, Kec. Sambikerep, Kota SBY, Jawa Timur 60219, Indonesia"
